text,label
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error Message ReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Service Item  is not on order for document number . Error Code Service Item  is not on order for document number . Error Code Miscellaneous Error Unable to copy item  to the order as the Service Item is on another open PSR Order. The Preference to Copy Pending PSR Items is set to No.Error Code Service Item  is not on order for document number . What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) PSR locked by another user, Telephone , Error Message This order is already open by ) at //  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) PSR locked by another user, Telephone , Error Message This order is already open by ) at //  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete BBDES task . Getting below error message. Task in EXCEPTION Work Queue,  Telephone , Error Messagev_return_cd - v_return_textORA- exact fetch returns more than requested number of rows ORA- exact fetch returns more than requested number of rows What is your MSS Login ID  Customer Acct Number  PSR    ",Data
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) What is your MSS Login ID  Customer Acct Number  PSR  ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)  THE PHYSICAL CIRCUIT IS NOT ASSIGNED TO THE PORT What is your MSS Login ID  ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DD task. Task in BB COMP Work Queue, Telephone , Error Message Unable to complete BB COMP In HWIN, NGMSS BB COMP shows already completed status. What is your MSS Login ID  Customer Acct Number  PSR    ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ISR GROOM CIRCUIT REMOVAL What is your MSS Login ID  ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete BBDES task . Getting below error message. Task in EXCEPTION Work Queue,  Telephone , Error Message v_return_cd - v_return_textORA- The MSS Exchange is not found on the account What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete PCONDES task . Getting below error message. Task in ADDASGN Work Queue,  Telephone , Error MessageThis circuit has multiple pins from different DSLAMS. What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) PSR locked by another user, Telephone , Error Message This order is already open by ) at //  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) TN=  NEED TO DOWNGRADE TO  SHOWING  AND  STUCK IN PSR, CANNOT MAKE CHANGES, UNABLE TO REMOVE LOCKS What is your MSS Login ID  Customer Acct Number  PSR   ",Miscellaneous
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) STUCK IN EXCEPTN; ERROR UNABLE TO CREATE DELEGATED PSR ORDER IN NGMSS (TN -PINS  &  SPEED MB)  What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) While trying to close the Design task for the ISR  -OKLD which has been cancelled.  We are getting the below error the Design on the row    is violating the constraint.  Please assist in closing the Design task.  What is your MSS Login ID  PSR  -OKLD ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) ORA- SP_QUALIFY_DUALQUAL ORA- selected product not qualified the both wire_centers What is your MSS Login ID  ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DD task . Getting below error message. Task in BBCOMP Work Queue,  Telephone , Error Messageunable to complete BBCOmp in HWIN What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) UNABLE TO COMPLETE ADDASGN  ReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Unable to validate item  Product group .  Error Code Miscellaneous Error SP_PSRAPI_UPDATE_VALUES Invalid value. Entered value does not have character length of  through .Error Code Unable to validate item  Product group . What is your MSS Login ID  Customer Acct Number  PSR   ",Data
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error Message ReturnCd  - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution.  Message Exception Thrown Importing Order.  Message Unable to validate item  Product group .  Error Code Missing Data servItemID is required  for DISCONNECT orderitem.Error Code Unable to validate item  Product group . What is your MSS Login ID  Customer Acct Number  PSR   ",Delegation
"Which MSS instance are you reporting this issue for MSS (hWIN & TSG) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) THE MSS    IS NOT FOUND ON THIS ORDER  What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)  customer is stuck in modasgn, they are working just fine at /mb, the order wants to put them on the mb dynamic range which is what  they qualify for. We are unable to push at any vbond speeds. at less than  ft What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)  v_return_cd - v_return_textORA- ORA- SP_QUALIFY_DUALQUAL ORA- Selected product not qualified the both wire_centers What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)  customer is stuck in DSLAM queue, the order shows complete but we cannot push the order. What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.)  stuck in DSLAM queue What is your MSS Login ID  Customer Acct Number  PSR   ",Training
"Which MSS instance are you reporting this issue for MSS (NextGen) What type of issue are you reporting Another issue Description of problem (attach screenshots of any errors, etc.) Please clear two pre-migration pending status channels correcting them to show [DS-Unassigned] off DS id  / /JCVLFLSMH/JCVLFLARH, these were from  and no longer needed. Ch' ,  What is your MSS Login ID  ",Data
